[Sunday/September 22/09/2024 21:26:31] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E09.Battle.of.the.Bastards.720p.mkv | length=3557.601 | time=2155.742
[Sunday/September 22/09/2024 21:26:35] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E09.Battle.of.the.Bastards.720p.mkv | length=3557.601 | time=2809.937
[Sunday/September 22/09/2024 21:26:39] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E10.The.Winds.of.Winter.720p.mkv | length=4081.44 | time=2494.205
[Sunday/September 22/09/2024 21:36:57] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E10.The.Winds.of.Winter.720p.mkv | length=4081.44 | time=1420.716
[Sunday/September 22/09/2024 21:37:08] /run/media/im7ls/Data/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E06.Blood.of.My.Blood.720p.mkv | length=3087.616 | time=2705.708
[Monday/September 23/09/2024 20:46:00] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/1. Introduction/1. Getting Started With This Course.mp4 | length=478.741 | time=1.5
[Monday/September 23/09/2024 20:46:21] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/1. Introduction/1. Getting Started With This Course.mp4 | length=478.741 | time=424.7
[Monday/September 23/09/2024 20:46:21] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/1. Introduction/1. Getting Started With This Course.mp4 | length=478.741 | time=0
[Monday/September 23/09/2024 20:46:28] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/2. Setup/1. Which version of Java should you use.mp4 | length=316.331 | time=284.56666666667
[Monday/September 23/09/2024 20:46:28] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/2. Setup/1. Which version of Java should you use.mp4 | length=316.331 | time=0
[Monday/September 23/09/2024 20:46:56] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/2. Setup/2. Install JDK 10 on Windows.mp4 | length=288.512 | time=222.33333333333
[Monday/September 23/09/2024 20:47:30] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/2. Setup/9. Install and Configure Intellij on Linux.mp4 | length=579.605 | time=532.13333333333
[Monday/September 23/09/2024 20:47:30] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/2. Setup/9. Install and Configure Intellij on Linux.mp4 | length=579.605 | time=0
[Monday/September 23/09/2024 20:47:43] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/3. First Steps/1. Introduction.mp4 | length=37.162 | time=12.766666666667
[Monday/September 23/09/2024 20:47:43] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/3. First Steps/1. Introduction.mp4 | length=37.162 | time=0
[Monday/September 23/09/2024 20:48:02] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/1. Introduction.mp4 | length=27.157 | time=21.766666666667
[Monday/September 23/09/2024 20:48:02] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/1. Introduction.mp4 | length=27.157 | time=0
[Monday/September 23/09/2024 20:48:13] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/2. What Are Variables.mp4 | length=913.77 | time=3.3
[Monday/September 23/09/2024 20:48:13] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/2. What Are Variables.mp4 | length=913.77 | time=0
[Monday/September 23/09/2024 22:31:50] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/3. Getting To Know Primitive Data Types - The Byte, Short, Int And Long.mp4 | length=1125.141 | time=1012.0333333333
[Tuesday/September 24/09/2024 02:49:00] /mnt/d/Tutorials/[FreeTutorials.Us] Udemy - Complete Java Masterclass - updated for Java 10/4. Variables, Datatypes and Operators/3. Getting To Know Primitive Data Types - The Byte, Short, Int And Long.mp4 | length=1125.141 | time=1013.3666666667
[Tuesday/September 24/09/2024 11:05:59] /mnt/d/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E06.Blood.of.My.Blood.720p.mkv | length=3087.616 | time=2694.989
[Tuesday/September 24/09/2024 12:09:24] /mnt/d/server/Media/tv/Game.of.Thrones.Complete.Series.Season.1.2.3.4.5.6.7.8.x264.720p/Season 6/GoT.S06E10.The.Winds.of.Winter.720p.mkv | length=4081.44 | time=1341.011
[Wednesday/September 25/09/2024 19:13:12] /home/im7ls/Downloads/Video-63.mp4 | length=9.1936961451247 | time=8.1666666666667
[Wednesday/September 25/09/2024 19:19:16] /home/im7ls/Downloads/untitled.png | length=0 | time=0
[Thursday/September 26/09/2024 21:43:11] Udemy - Complete Java 10 Masterclass/1. Introduction/1. Getting Started With This Course.mp4 | length=478.741 | time=0
[Thursday/September 26/09/2024 21:43:41] Udemy - Complete Java 10 Masterclass/4. Variables, Datatypes and Operators/1. Introduction.mp4 | length=27.157 | time=0
[Thursday/September 26/09/2024 21:43:58] Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/1. Introduction to Modules.mp4 | length=381.696 | time=379.52
[Thursday/September 26/09/2024 21:43:58] Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/1. Introduction to Modules.mp4 | length=381.696 | time=0
[Thursday/September 26/09/2024 21:44:02] Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/2. Module Declarations and Statements.mp4 | length=128.49 | time=0
[Thursday/September 26/09/2024 21:44:03] Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/3. Module Types.mp4 | length=339.541 | time=0
[Thursday/September 26/09/2024 21:45:42] /mnt/d/Tutorials/Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/3. Module Types.mp4 | length=339.541 | time=1.0333333333333
[Thursday/September 26/09/2024 21:45:42] /mnt/d/Tutorials/Udemy - Complete Java 10 Masterclass/22. Java 9 Module System/3. Module Types.mp4 | length=339.541 | time=0
